instance,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
p01,AS,309,165,1,0.1193,0.120931,0.0105188,1,309,987654322
p01,ASRank,309,165,1,0.11938,0.118979,0.00726331,1,309,987754322
p01,MMAS,309,165,1,0.156721,0.119161,0.00943106,1,309,987854322
p01,ACS,309,165,1,0.109741,0.11337,0.011053,1,309,987954322
p02,AS,51,26,1,0.0503697,0.0561012,0.00940963,1,51,987654322
p02,ASRank,51,26,1,0.0611391,0.0657632,0.00267787,1,51,987754322
p02,MMAS,51,26,1,0.0642311,0.0682913,0.00836506,1,51,987854322
p02,ACS,51,26,1,0.0582422,0.0549524,0.0029182,1,51,987954322
p03,AS,150,190,1,0.0783806,0.0792867,0.00818698,1,150,987654322
p03,ASRank,150,190,1,0.0788935,0.080277,0.00907536,1,150,987754322
p03,MMAS,150,190,1,0.0777543,0.076089,0.002643,1,150,987854322
p03,ACS,150,190,1,0.0700782,0.076668,0.0096765,1,150,987954322
p04,AS,107,50,1,0.116799,0.112451,0.0138455,1,107,987654322
p04,ASRank,107,50,1,0.0675389,0.0763456,0.00912999,1,107,987754322
p04,MMAS,107,50,1,0.0822105,0.0918029,0.0231958,1,107,987854322
p04,ACS,107,50,1,0.122771,0.119727,0.0113918,1,107,987954322
p05,AS,900,104,1,0.254967,0.250872,0.0239544,1,900,987654322
p05,ASRank,900,104,1,0.211792,0.222257,0.0308101,1,900,987754322
p05,MMAS,900,104,1,0.246386,0.225364,0.0206382,1,900,987854322
p05,ACS,900,104,1,0.241914,0.223531,0.0268824,1,900,987954322
p06,AS,1735,169,1,0.138133,0.139159,0.0156769,1,1735,987654322
p06,ASRank,1735,169,1,0.15954,0.147419,0.0157695,1,1735,987754322
p06,MMAS,1735,169,1,0.16232,0.140932,0.0143212,1,1735,987854322
p06,ACS,1735,169,1,0.132248,0.128143,0.0120888,1,1735,987954322
p07,AS,1458,749,1,0.583395,0.57131,0.0433961,1,1458,987654322
p07,ASRank,1458,749,1,0.551029,0.529277,0.038378,1,1458,987754323
p07,MMAS,1458,749,1,0.50356,0.5048,0.032544,1,1458,987854322
p07,ACS,1458,749,1,0.504519,0.495139,0.0395913,1,1458,987954322
p08,AS,13549094,6402560,1,1.31028,1.3158,0.0795471,1,13549094,987654322
p08,ASRank,13549094,6402560,1,1.20972,1.21391,0.0930738,1,13549094,987754327
p08,MMAS,13549094,6402560,1,1.32486,1.19583,0.0832699,1,13549094,987854323
p08,ACS,13501943,6383480,1,1.19861,1.22739,0.0930629,0,13549094,987954324
